设备编号,下单时间,订单编号,购买数量（个）,手续费（元）,总金额（元）,支付状态,出货状态,收款方,退款金额（元）,购买用户,商品ID,商品详情,省市区,软件版本
112531,2018/4/30 22:55,112531qr15251001151105,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0q3NG6YFG7PJrF2x7QaS23E,商品0001,可口可乐X1;,广东省中山市,V2.1.55/1.2;rk3288
112657,2018/4/30 19:58,112657qr15250895096590,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0t1Iiu4imdMmWBeLdY0GKwE,商品0001,可口可乐X1;,广东省广州市番禺区,V3.0.38;rk3288;(900x1440)
112657,2018/4/30 17:26,112657qr15250803914099,1,0.03,2.5,微信,出货成功,鑫零售结算,0,ooCjVwHPz_xuuMWqMcvqK2YAjCOE,商品0001,可口可乐 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112539,2018/4/30 16:26,112539qr15250768111957,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0n3Z8WVdeNH4iX78JAnNVTQ,商品0001,可口可乐X1;,广东省广州市番禺区,V3.0.38;rk3288;(900x1440)
112673,2018/4/30 13:39,112673qr15250667659247,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0t_qepcnYIyc_Ug53RkRWKs,商品0001,可口可乐X1;,广东省佛山市南海区,V3.0.37;rk3288;(900x1440)
112673,2018/4/30 13:14,112673qr15250652455454,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0u_2AiRVvRODIwSoIA5pe4o,商品0001,可口可乐X1;,广东省佛山市南海区,V3.0.37;rk3288;(900x1440)
112701,2018/4/29 14:43,112701qr15249842283261,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0l9ibDIf-H8dInhLOhcxk70,商品0001,可口可乐X1;,广东省中山市,V2.1.55/1.2;rk3288
112691,2018/4/29 14:28,112691qr15249833017881,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0hdF4mcX7WNix-DaX7y_jKg,商品0001,可口可乐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112637,2018/4/29 12:29,112637qr15249761462361,1,0.03,2.5,支付宝,出货成功,鑫零售结算,0,os-xL0nbckHghSUxS7YEZFGTp2Ps,商品0001,可口可乐 罐X1;,广东省广州市海珠区,V3.0.37;rk3288;(900x1440)
112637,2018/4/29 12:28,112637qr15249761129083,1,0.03,2.5,支付宝,出货成功,鑫零售结算,0,os-xL0q1cuLTdHYxBW-tCvJt1mGo,商品0001,可口可乐 罐X1;,广东省广州市海珠区,V3.0.37;rk3288;(900x1440)
112637,2018/4/29 12:26,112637qr15249759931954,1,0.03,2.5,支付宝,出货成功,鑫零售结算,0,os-xL0uBBePTPDRUG7bwTGleIch4,商品0001,可口可乐 罐X1;,广东省广州市海珠区,V3.0.37;rk3288;(900x1440)
112531,2018/4/29 1:09,112531qr15249353441848,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0ro9rDmLYV918zA27FrKSQs,商品0001,可口可乐X1;,广东省中山市,V2.1.55/1.2;rk3288
112536,2018/4/28 21:58,112536qr15249238984947,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0qJue7WbcsWTsN74qTco0AU,商品0001,可口可乐 罐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112698,2018/4/28 21:19,112698qr15249215465944,1,0.03,3.0,支付宝,出货失败,鑫零售结算,0,os-xL0vaTVJMnXbjANsonIG1Nqkw,商品0001,可口可乐X1;,广东省中山市,V2.1.55/1.2;rk3288
112888,2018/4/28 21:04,112888qr15249206412466,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0vPtLTQra4g6DcQg43aXQEs,商品0001,可口可乐 罐X1;,广东省中山市,V2.1.61/1.2;rk3288
112535,2018/4/28 20:49,112535qr15249197561181,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0sx--FCIEsQ9IOuTOjtGoi4,商品0001,可口可乐 罐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112535,2018/4/28 20:48,112535qr15249197076326,1,0.03,2.5,微信,出货成功,鑫零售结算,0,ooCjVwGlFQbkRohFqp3RvbouV5yQ,商品0001,可口可乐 罐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112879,2018/4/28 20:33,112879qr15249188358184,1,0.03,3.0,支付宝,出货成功,鑫零售结算,0,os-xL0pSy3XKw0STi4_c1kYuSbvk,商品0001,可口可乐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112657,2018/4/28 19:10,112657qr15249138218394,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0pRKm2eYlW8EMv6WQ_9c5sE,商品0001,可口可乐X1;,广东省广州市番禺区,V3.0.38;rk3288;(900x1440)
112657,2018/4/28 19:08,112657qr15249137243006,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0hsTgdOnJ6zMw9knx8_aPFM,商品0001,可口可乐X1;,广东省广州市番禺区,V3.0.38;rk3288;(900x1440)
112657,2018/4/28 19:07,112657qr15249136672422,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0oP8NMl0-eUlAjU055aGZFI,商品0001,可口可乐X1;,广东省广州市番禺区,V3.0.38;rk3288;(900x1440)
112534,2018/4/28 18:51,112534qr15249126808391,1,0.03,2.5,支付宝,出货成功,鑫零售结算,0,os-xL0oCVjfa7UoucXcRUHVbRN9o,商品0001,可口可乐 罐X1;,广东省广州市番禺区,V3.0.38;rk3288;(900x1440)
112657,2018/4/28 18:04,112657qr15249098453809,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0nSR4dE1b1mKcbSK72nY0lA,商品0001,可口可乐 罐X1;,广东省广州市番禺区,V3.0.38;rk3288;(900x1440)
112876,2018/4/28 17:48,112876qr15249089024921,1,0.03,3.0,微信,出货中,鑫零售结算,0,os-xL0lqOwEAfzRdYcx0uKn9JB6s,商品0001,可口可乐X1;,广东省东莞市,V3.0.35;rk3288;(900x1440)
112875,2018/4/28 17:31,112875qr15249079194822,1,0.03,3.0,微信,出货失败,鑫零售结算,0,os-xL0tqqA0RAPqeVOaoQa6vZ_sw,商品0001,可口可乐X1;,广东省东莞市,V3.0.35;rk3288;(900x1440)
112539,2018/4/28 13:08,112539qr15248921289465,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0gul3ONMr2Z6tjik8vjtOw4,商品0001,可口可乐X1;,广东省广州市海珠区,V3.0.37;rk3288;(900x1440)
112534,2018/4/28 8:15,112534qr15248746297694,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0qTAal6CbmU1Gp9JJINp4pU,商品0001,可口可乐 罐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112531,2018/4/27 19:52,112531qr15248299904323,1,0.03,2.5,微信,出货成功,鑫零售结算,0,ooCjVwJPrjJTfP3hemfHXKy2B8Kg,商品0001,可口可乐X1;,广东省中山市,V2.1.55/1.2;rk3288
112535,2018/4/27 19:10,112535qr15248275156911,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0sRHb8gbTLd_RvDwNT0oMNE,商品0001,可口可乐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112659,2018/4/27 15:33,112659qr15248144179834,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0l1ZTCFhdHy8UIPewYxH4Xk,商品0001,可口可乐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112659,2018/4/27 15:32,112659qr15248143714571,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0smqCQZi3JiWqCv55CkxGAQ,商品0001,可口可乐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112659,2018/4/27 14:21,112659qr15248100905691,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0vi0x7Z4SkslhFuy-mPzXV8,商品0001,可口可乐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112659,2018/4/27 13:34,112659qr15248072473221,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0rOZVvRDaaRHfKWviPTDtOc,商品0001,可口可乐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112659,2018/4/27 13:33,112659qr15248072056755,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0p2KQ6HBzOeiCHYEbPvq9R4,商品0001,可口可乐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112539,2018/4/27 13:21,112539qr15248065642597,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0sFIPOE7pdystkiymMESfgI,商品0001,可口可乐 罐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112531,2018/4/26 22:02,112531qr15247513884939,1,0.03,2.5,支付宝,出货成功,鑫零售结算,0,os-xL0huRwWg2wbICe6T4Ug2O-Ew,商品0001,可口可乐X1;,广东省中山市,V2.1.55/1.2;rk3288
112539,2018/4/26 18:13,112539qr15247376547579,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0j-nc2wTrDE_rR8bV3hy634,商品0001,可口可乐 罐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112531,2018/4/26 16:04,112531qr15247299357020,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0imLs0B4hz36F7-423EErHQ,商品0001,可口可乐X1;,广东省中山市,V2.1.55/1.2;rk3288
112535,2018/4/26 14:50,112535qr15247255117256,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0iOkHWD3_SWF7zlRNchbZEY,商品0001,可口可乐 罐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112535,2018/4/26 14:50,112535qr15247254891987,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0vtT4fCYUUt4RAG4iGpOhh8,商品0001,可口可乐 罐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112535,2018/4/26 14:49,112535qr15247254529350,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0vEbeDgGLVVLPwBaQuDKGUE,商品0001,可口可乐 罐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112536,2018/4/26 14:27,112536qr15247241217851,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0lZiwMj03aBdJat0NP0MlOg,商品0001,可口可乐 罐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112539,2018/4/26 14:23,112539qr15247238728460,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0ppslH8Z80nhcaHv2jeCOkA,商品0001,可口可乐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112534,2018/4/26 12:40,112534qr15247176639932,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0vZR50zo54Ra4vflWZnakNE,商品0001,可口可乐 罐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
