店铺名称,手机品牌,商品编号,商品名称,CPU型号,后摄主摄像素,前摄主摄像素,系统,商品评价量,手机价格
iQOO京东官方自营旗舰店,vivo,100021000000,vivoiQOO Neo6,骁龙8 Gen 1,6400万像素,1600万像素,Android,1万+,3299.0
小米京东自营旗舰店,小米,100014000000,小米Redmi 9A,其他,1300万像素,500万像素,Android,300万+,599.0
小米京东自营旗舰店,小米,100017000000,小米Redmi Note9 Pro,骁龙750G,1亿像素,1600万像素,Android,100万+,1249.0
荣耀京东自营旗舰店,荣耀,100013000000,荣耀Play5T Pro,MediaTek Helio G80,6400万像素,1600万像素,Android,20万+,1099.0
Apple产品京东自营旗舰店,Apple,100027000000,AppleiPhone 13,其他,1200万像素,1200万像素,iOS,200万+,5999.0
荣耀京东自营旗舰店,荣耀,100036000000,荣耀荣耀,天玑700,1300万像素,500万像素,Android,2万+,1199.0
iQOO京东官方自营旗舰店,vivo,100028000000,vivoiQOO Z5x,天玑900,5000万像素,800万像素,Android,10万+,1399.0
iQOO京东官方自营旗舰店,vivo,100030000000,vivoiQOO Neo5 SE,骁龙870,5000万像素,1600万像素,Android,20万+,1799.0
OPPO京东自营官方旗舰店,OPPO,100031000000,OPPOK9x,天玑810,6400万像素,1600万像素,Android,10万+,1399.0
iQOO京东官方自营旗舰店,vivo,100022000000,vivoiQOO Neo6 SE,骁龙870,6400万像素,1600万像素,Android,2000+,2499.0
小米京东自营旗舰店,小米,100028000000,小米Redmi Note 11 ,其他,5000万像素,1600万像素,其他,20万+,1299.0
小米京东自营旗舰店,小米,100015000000,小米Redmi Note 11 Pro ,其他,1亿像素,1600万像素,Android,50万+,1699.0
360 OS旗舰店,360 OS,10048600000000,360 OSQSN2112,MT6765,1600万像素,800万像素,Android,90,1198.0
Apple产品京东自营旗舰店,Apple,100009000000,AppleiPhone 12,其他,1200万像素,1200万像素,iOS,300万+,4999.0
小米京东自营旗舰店,小米,100035000000,小米Redmi K40S,骁龙870,4800万像素,2000万像素,Android,10万+,1969.0
小米京东自营旗舰店,小米,100035000000,小米Redmi K50Pro,其他,1亿像素,其他,其他,5万+,2999.0
荣耀京东自营旗舰店,荣耀,100028000000,荣耀Play5 活力版,天玑900,6400万像素,1600万像素,Android,2万+,1399.0
iQOO京东官方自营旗舰店,vivo,100025000000,vivoiQOO 8,骁龙888,4800万像素,1600万像素,Android,10万+,2999.0
Hi nova京东自营旗舰店,Hi nova,100037000000,Hi novaHi nova 9 SE,骁龙695,1亿像素,1600万像素,Android,500+,2699.0
荣耀京东自营旗舰店,荣耀,100017000000,荣耀X30,其他,4800万像素,1600万像素,Android,20万+,1699.0
华为京东自营官方旗舰店,华为,100016000000,华为nova 8 SE,麒麟710A,6400万像素,1600万像素,HarmonyOS 2,20万+,1699.0
OPPO京东自营官方旗舰店,OPPO,100014000000,OPPOA11s,其他,1300万像素,800万像素,Android,10万+,1099.0
iQOO京东官方自营旗舰店,vivo,100017000000,vivoiQOO 7,骁龙888,4800万像素,1600万像素,Android,20万+,2698.0
小米京东自营旗舰店,小米,100016000000,小米Redmi Note 11 ,Helio G88,5000万像素,800万像素,Android,20万+,1069.0
京东之家官方旗舰店,vivo,10046600000000,vivoT1x,天玑900,6400万像素,800万像素,Android,100+,1399.0
小米京东自营旗舰店,小米,100036000000,小米Redmi 10A,Helio G25,1300万像素,其他,Android,5万+,699.0
荣耀京东自营旗舰店,荣耀,100033000000,荣耀荣耀,天玑900,6400万像素,1600万像素,Android,2万+,2199.0
Apple产品京东自营旗舰店,Apple,100014000000,AppleiPhone 13 Pro Max,其他,1200万像素,1200万像素,iOS,50万+,9799.0
iQOO京东官方自营旗舰店,vivo,100019000000,vivoiQOO Neo5,骁龙870,4800万像素,1600万像素,Android,50万+,2448.0
OPPO京东自营官方旗舰店,OPPO,100029000000,OPPOReno7,骁龙778G,6400万像素,3200万像素,Android,10万+,2399.0
金诚旗舰店,天语,10026500000000,天语（K-Touch）T12Pro,其他,其他,其他,Android,2万+,689.0
一加手机京东自营官方旗舰店,一加,100011000000,一加9,骁龙888,4800万像素,1600万像素,Android,20万+,2999.0
荣耀京东自营旗舰店,荣耀,100030000000,荣耀60 Pro,其他,10800万像素,其他,其他,2万+,3599.0
SONY京东自营官方旗舰店,索尼,100039000000,索尼Xperia 1 III,骁龙888,1200万像素,800万像素,Android,0,8499.0
三星京东自营官方旗舰店,三星,100022000000,三星Galaxy F52 ,骁龙750G,6400万像素,1600万像素,Android,5万+,1499.0
OPPO京东自营官方旗舰店,OPPO,100030000000,OPPOReno7 SE,其他,其他,其他,Android,1万+,1899.0
小米京东自营旗舰店,小米,100035000000,小米Redmi K50,其他,4800万像素,2000万像素,Android,10万+,2748.0
荣耀京东自营旗舰店,荣耀,100021000000,荣耀畅玩20 ,Unisoc T610,1300万像素,500万像素,Android,50万+,899.0
荣耀京东自营旗舰店,荣耀,100036000000,荣耀荣耀,天玑810,4800万像素,800万像素,Android,1万+,1599.0
京东移动生态自营专区,小米,100018000000,小米Redmi Note10 ,天玑700,4800万像素,800万像素,Android,5000+,1199.0
京东之家官方旗舰店,荣耀,10042100000000,荣耀play5t pro ,其他,其他,其他,Android,5000+,999.01
诺基亚手机京东自营旗舰店,诺基亚,100023000000,诺基亚C20 Plus,其他,800万像素,500万像素,Android,5万+,699.0
vivo京东自营官方旗舰店,vivo,100036000000,vivoX Note,骁龙8 Gen 1,5000万像素,1600万像素,Android,5000+,6999.0
OPPO京东自营官方旗舰店,OPPO,100037000000,OPPOA55s,其他,1300万像素,800万像素,Android,2000+,1199.0
小米京东自营旗舰店,小米,100037000000,小米小米 Civi 1S,其他,其他,其他,Android,5000+,2599.0
realme真我京东自营旗舰店,真我,100021000000,真我Q5,骁龙695,5000万像素,1600万像素,Android,2000+,1369.0
iQOO官方旗舰店,vivo,10050700000000,vivoiQOO Neo5活力版,骁龙870,5000万像素,1600万像素,Android,5万+,2099.0
OPPO京东自营官方旗舰店,OPPO,100020000000,OPPOK7x,其他,4800万像素,1600万像素,Android,50万+,1099.0
金立手机京东自营旗舰店,金立,100016000000,金立X6-,紫光展锐,无后置摄像头,无前置摄像头,功能机,5000+,217.0
小米京东自营旗舰店,小米,100031000000,小米小米12X,骁龙870,5000万像素,3200万像素,Android,2万+,2999.0
欧申达手机专营店,百事乐,10043700000000,新款百事乐智能,其他,其他,其他,Android,1000+,679.0
一加手机京东自营官方旗舰店,一加,100021000000,一加Ace,天玑8100,5000万像素,1600万像素,Android,1万+,2999.0
京东移动生态自营专区,荣耀,100018000000,荣耀荣耀X30,其他,其他,其他,Android,1000+,1589.0
金立手机京东自营旗舰店,金立,100030000000,金立K13Pro,其他,1300万像素,500万像素,Android,1万+,699.0
京合旗舰店,荣耀,10042000000000,荣耀（HONOR）荣耀X30,其他,4800万像素,1600万像素,Android,2000+,2299.0
Apple产品京东自营旗舰店,Apple,100008000000,AppleiPhone 11,其他,1200万像素,1200万像素,iOS,500万+,3899.0
realme真我京东自营旗舰店,真我,100015000000,真我,天玑1200,6400万像素,1600万像素,Android,5万+,1699.0
