店铺名称,手机品牌,商品编号,商品名称,CPU型号,后摄主摄像素,前摄主摄像素,系统,商品评价量,手机价格
iQOO京东官方自营旗舰店,vivo,100021000000,vivoiQOO Neo6,骁龙8 Gen 1,6400万像素,1600万像素,Android,1万+,3299
小米京东自营旗舰店,小米（MI）,100014000000,小米Redmi 9A,其他,1300万像素,500万像素,Android,300万+,599
小米京东自营旗舰店,小米（MI）,100017000000,小米Redmi Note9 Pro,骁龙750G,1亿像素,1600万像素,Android,100万+,1249
荣耀京东自营旗舰店,荣耀（HONOR）,100013000000,荣耀Play5T Pro,MediaTek Helio G80,6400万像素,1600万像素,Android,20万+,1099
Apple产品京东自营旗舰店,Apple,100027000000,AppleiPhone 13,,,,iOS,200万+,5999
荣耀京东自营旗舰店,荣耀（HONOR）,100036000000,荣耀荣耀手机,天玑700,1300万像素,500万像素,Android,2万+,1199
iQOO京东官方自营旗舰店,vivo,100028000000,vivoiQOO Z5x,天玑900,5000万像素,800万像素,Android,10万+,1399
iQOO京东官方自营旗舰店,vivo,100030000000,vivoiQOO Neo5 SE,骁龙870,5000万像素,1600万像素,Android,20万+,1799
OPPO京东自营官方旗舰店,OPPO,100031000000,OPPOK9x,天玑810,6400万像素,1600万像素,Android,10万+,1399
iQOO京东官方自营旗舰店,vivo,100022000000,vivoiQOO Neo6 SE,骁龙870,6400万像素,1600万像素,Android,2000+,2499
小米京东自营旗舰店,小米（MI）,100028000000,小米Redmi Note 11 5G,其他,5000万像素,1600万像素,其他OS,20万+,1299
小米京东自营旗舰店,小米（MI）,100015000000,小米Redmi Note 11 Pro ,其他,1亿像素,1600万像素,Android,50万+,1699
360 OS旗舰店,360 OS,10048600000000,360 OSQSN2112,MT6765,1600万像素,800万像素,Android,90,1198
Apple产品京东自营旗舰店,Apple,100009000000,AppleiPhone 12,其他,1200万像素,1200万像素,iOS,300万+,4999
小米京东自营旗舰店,小米（MI）,100035000000,小米Redmi K40S,骁龙870,4800万像素,2000万像素,Android,10万+,1969
小米京东自营旗舰店,小米（MI）,100035000000,小米Redmi K50Pro,其他,1亿像素,其他,其他,5万+,2999
荣耀京东自营旗舰店,荣耀（HONOR）,100028000000,荣耀Play5 活力版,天玑900,6400万像素,1600万像素,Android,2万+,1399
iQOO京东官方自营旗舰店,vivo,100025000000,vivoiQOO 8,骁龙888,4800万像素,1600万像素,Android,10万+,2999
Hi nova京东自营旗舰店,Hi nova,100037000000,Hi novaHi nova 9 SE,,1亿像素,1600万像素,Android,500+,2699
荣耀京东自营旗舰店,荣耀（HONOR）,100017000000,荣耀X30,,4800万像素,1600万像素,Android,20万+,1699
华为京东自营官方旗舰店,华为（HUAWEI）,100016000000,华为nova 8 SE,麒麟710A,6400万像素,1600万像素,HarmonyOS 2,20万+,1699
OPPO京东自营官方旗舰店,OPPO,100014000000,OPPOA11s,其他,1300万像素,800万像素,Android,10万+,1099
iQOO京东官方自营旗舰店,vivo,100017000000,vivoiQOO 7,骁龙888,4800万像素,1600万像素,Android,20万+,2698
小米京东自营旗舰店,小米（MI）,100016000000,小米Redmi Note 11 4G,Helio G88,5000万像素,800万像素,Android,20万+,1069
京东之家官方旗舰店,vivo,10046600000000,vivoT1x,天玑900,6400万像素,800万像素,Android,100+,1399
小米京东自营旗舰店,小米（MI）,100036000000,小米Redmi 10A,Helio G25,1300万像素,其他,Android,5万+,699
荣耀京东自营旗舰店,荣耀（HONOR）,100033000000,荣耀荣耀手机,天玑900,6400万像素,1600万像素,Android,2万+,2199
Apple产品京东自营旗舰店,Apple,100014000000,AppleiPhone 13 Pro Max,,1200万像素,,iOS,50万+,9799
iQOO京东官方自营旗舰店,vivo,100019000000,vivoiQOO Neo5,骁龙870,4800万像素,1600万像素,Android,50万+,2448
OPPO京东自营官方旗舰店,OPPO,100029000000,OPPOReno7,,6400万像素,3200万像素,Android,10万+,2399
iQOO京东官方自营旗舰店,vivo,100028000000,vivoiQOO Z5x,天玑900,5000万像素,800万像素,Android,10万+,1399
金诚旗舰店,天语（K-Touch）,10026500000000,天语（K-Touch）T12Pro,其他,,,Android,2万+,689
一加手机京东自营官方旗舰店,一加,100011000000,一加9,骁龙888,4800万像素,1600万像素,Android,20万+,2999
iQOO京东官方自营旗舰店,vivo,100030000000,vivoiQOO Neo5 SE,骁龙870,5000万像素,1600万像素,Android,20万+,1799
荣耀京东自营旗舰店,荣耀（HONOR）,100033000000,荣耀荣耀手机,天玑900,6400万像素,1600万像素,Android,2万+,2199
荣耀京东自营旗舰店,荣耀（HONOR）,100030000000,荣耀60 Pro,,10800万像素,,其他,2万+,3599
SONY京东自营官方旗舰店,索尼（SONY）,100039000000,索尼Xperia 1 III,,,,Android,0,8499
OPPO京东自营官方旗舰店,OPPO,100031000000,OPPOK9x,天玑810,6400万像素,1600万像素,Android,10万+,1399
三星京东自营官方旗舰店,三星（SAMSUNG）,100022000000,三星Galaxy F52 5G,骁龙750G,6400万像素,1600万像素,Android,5万+,1499
OPPO京东自营官方旗舰店,OPPO,100030000000,OPPOReno7 SE,,,,Android,1万+,1899
小米京东自营旗舰店,小米（MI）,100035000000,小米Redmi K50,其他,4800万像素,2000万像素,Android,10万+,2748
荣耀京东自营旗舰店,荣耀（HONOR）,100021000000,荣耀畅玩20 4G,Unisoc T610,1300万像素,500万像素,Android,50万+,899
荣耀京东自营旗舰店,荣耀（HONOR）,100036000000,荣耀荣耀手机,天玑810,4800万像素,800万像素,Android,1万+,1599
京东移动生态自营专区,小米（MI）,100018000000,小米Redmi Note10 ,天玑700,4800万像素,800万像素,Android,5000+,1199
京东之家官方旗舰店,荣耀（HONOR）,10042100000000,荣耀play5t pro 手机 6400万双摄 6.6英寸全视屏 幻夜黑 8+128G 官方标配,,,,Android,5000+,999.01
OPPO京东自营官方旗舰店,OPPO,100029000000,OPPOReno7,,6400万像素,3200万像素,Android,10万+,2399
小米京东自营旗舰店,小米（MI）,100016000000,小米Redmi Note 11 4G,Helio G88,5000万像素,800万像素,Android,20万+,1069
诺基亚手机京东自营旗舰店,诺基亚（NOKIA）,100023000000,诺基亚C20 Plus,其他,800万像素,500万像素,Android,5万+,699
vivo京东自营官方旗舰店,vivo,100036000000,vivoX Note,骁龙8 Gen 1,5000万像素,1600万像素,Android,5000+,6999
OPPO京东自营官方旗舰店,OPPO,100037000000,OPPOA55s,其他,1300万像素,800万像素,Android,2000+,1199
小米京东自营旗舰店,小米（MI）,100037000000,小米小米 Civi 1S,,,,Android,5000+,2599
realme真我京东自营旗舰店,真我（realme）,100021000000,真我Q5,骁龙695,5000万像素,1600万像素,Android,2000+,1369
iQOO官方旗舰店,vivo,10050700000000,vivoiQOO Neo5活力版,骁龙870,5000万像素,1600万像素,Android,5万+,2099
OPPO京东自营官方旗舰店,OPPO,100020000000,OPPOK7x,其他,4800万像素,1600万像素,Android,50万+,1099
金立手机京东自营旗舰店,金立（Gionee）,100016000000,金立X6-4G版,紫光展锐,无后置摄像头,无前置摄像头,功能机,5000+,217
小米京东自营旗舰店,小米（MI）,100031000000,小米小米12X,骁龙870,5000万像素,3200万像素,Android,2万+,2999
欧申达手机专营店,百事乐（LEBEST）,10043700000000,新款百事乐智能手机全面屏双卡长续航游戏拍照学生老年人全网通移动联通电信5G卡千元便宜超薄微信八开为华 石墨黑 8+128G,,,,Android,1000+,679
一加手机京东自营官方旗舰店,一加,100021000000,一加Ace,天玑8100,5000万像素,1600万像素,Android,1万+,2999
京东移动生态自营专区,荣耀（HONOR）,100018000000,荣耀荣耀X30,,,,Android,1000+,1589
金立手机京东自营旗舰店,金立（Gionee）,100030000000,金立K13Pro,,1300万像素,500万像素,Android,1万+,699
荣耀京东自营旗舰店,荣耀（HONOR）,100036000000,荣耀荣耀手机,天玑700,1300万像素,500万像素,Android,2万+,1199
京合旗舰店,荣耀（HONOR）,10042000000000,荣耀（HONOR）荣耀X30,,,,Android,2000+,2299
小米京东自营旗舰店,小米（MI）,100037000000,小米小米 Civi 1S,,,,Android,5000+,2599
Apple产品京东自营旗舰店,Apple,100008000000,AppleiPhone 11,其他,1200万像素,1200万像素,iOS,500万+,3899
realme真我京东自营旗舰店,真我（realme）,100015000000,真我新品,天玑1200,6400万像素,1600万像素,Android,5万+,1699
